eunis_code	jncc_code
A2.711	LS.LBR.Sab.Salv
A2.72	LS.LBR.LMus
A2.721	LS.LBR.LMus.Myt
A2.7211	LS.LBR.LMus.Myt.Mx
A2.7212	LS.LBR.LMus.Myt.Sa
A2.7213	LS.LBR.LMus.Myt.Mu
A2.82	LR.FLR.Eph
A2.821	LR.FLR.Eph.EphX
A3	IR
A3.1	IR.HIR
A3.11	IR.HIR.KFaR
A3.111	IR.HIR.KFaR.Ala
A3.1111	IR.HIR.KFaR.Ala.Myt
A3.1112	IR.HIR.KFaR.Ala.Ldig
A3.112	IR.HIR.KFaR.AlaAnCrSp
A3.113	IR.HIR.KFaR.LhypFa
A3.114	IR.HIR.KFaR.LhypPar
A3.115	IR.HIR.KFaR.LhypR
A3.1151	IR.HIR.KFaR.LhypR.Ft
A3.1152	IR.HIR.KFaR.LhypR.Pk
A3.1153	IR.HIR.KFaR.LhypR.Loch
A3.116	IR.HIR.KFaR.FoR
A3.1161	IR.HIR.KFaR.FoR.Dic
A3.117	IR.HIR.KFaR.LhypRVt
A3.12	IR.HIR.KSed
A3.121	IR.HIR.KSed.Sac
A3.122	IR.HIR.KSed.LsacSac
A3.123	IR.HIR.KSed.LsacChoR
A3.124	IR.HIR.KSed.DesFilR
A3.125	IR.HIR.KSed.XKScrR
A3.126	IR.HIR.KSed.XKHal
A3.127	IR.HIR.KSed.ProtAhn
A3.2	IR.MIR
A3.21	IR.MIR.KR
A3.211	IR.MIR.KR.Ldig
A3.2111	IR.MIR.KR.Ldig.Ldig
A3.2112	IR.MIR.KR.Ldig.Bo
A3.2113	IR.MIR.KR.Ldig.Pid
A3.212	IR.MIR.KR.LhypT
A3.2121	IR.MIR.KR.LhypT.Ft
A3.2122	IR.MIR.KR.LhypT.Pk
A3.213	IR.MIR.KR.LhypTX
A3.2131	IR.MIR.KR.LhypTX.Ft
A3.2132	IR.MIR.KR.LhypTX.Pk
A3.214	IR.MIR.KR.Lhyp
A3.2141	IR.MIR.KR.Lhyp.Ft
A3.2142	IR.MIR.KR.Lhyp.Pk
A3.2143	IR.MIR.KR.Lhyp.GzFt
A3.2144	IR.MIR.KR.Lhyp.GzPk
A3.2145	IR.MIR.KR.Lhyp.Sab
A3.215	IR.MIR.KR.XFoR
A3.216	IR.MIR.KR.LhypVt
A3.217	IR.MIR.KR.HiaSw
A3.22	IR.MIR.KT
A3.221	IR.MIR.KT.LdigT
A3.222	IR.MIR.KT.XKT
A3.223	IR.MIR.KT.XKTX
A3.224	IR.MIR.KT.LsacT
A3.225	IR.MIR.KT.FilRVS
A3.3	IR.LIR
A3.31	IR.LIR.K
A3.311	IR.LIR.K.LhypLoch
A3.312	IR.LIR.K.LhypLsac
A3.3121	IR.LIR.K.LhypLsac.Ft
A3.3122	IR.LIR.K.LhypLsac.Pk
A3.3123	IR.LIR.K.LhypLsac.Gz
A3.313	IR.LIR.K.Lsac
A3.3131	IR.LIR.K.Lsac.Ldig
A3.3132	IR.LIR.K.Lsac.Ft
A3.3133	IR.LIR.K.Lsac.Pk
A3.3134	IR.LIR.K.Lsac.Gz
A3.314	IR.LIR.K.LhypCape
A3.315	IR.LIR.K.Sar
A3.32	IR.LIR.KVS
A3.321	IR.LIR.KVS.Cod
A3.322	IR.LIR.KVS.LsacPsaVS
A3.323	IR.LIR.KVS.LsacPhyVS
A3.34	IR.LIR.Lag
A3.341	IR.LIR.Lag.FChoG
A3.342	IR.LIR.Lag.AscSpAs
A3.343	IR.LIR.Lag.ProtFur
A3.344	IR.LIR.Lag.FcerEnt
A3.36	IR.LIR.IFaVS
A3.361	IR.LIR.IFaVS.MytRS
A3.362	IR.LIR.IFaVS.CcasEle
A3.363	IR.LIR.IFaVS.HarCon
A3.7	IR.FIR
A3.71	IR.FIR.SG
A3.711	IR.FIR.SG.FoSwCC
A3.712	IR.FIR.SG.CrSpAsAn
A3.713	IR.FIR.SG.CrSpAsDenB
A3.714	IR.FIR.SG.DenCcor
A3.715	IR.FIR.SG.CrSp
A3.716	IR.FIR.SG.CC
A3.7161	IR.FIR.SG.CC.BalPom
